"Neurons","A02l [#2]","T11v1 [#3]","A18g [#5]","A31x [#2]","A14a1 [#2]","A19f [#6]","A02k [#2]","dbd [#2]","A06l [#2]","A05a [#4]","A08a [#2]","A31k [#2]","A27p [#2]"
"A02l [#2]",0,0,0,24,0,0,0,0,48,41,32,31,22
"T11v1 [#3]",26,0,2,4,1,0,0,0,12,0,25,1,10
"A18g [#5]",22,5,0,4,2,0,0,0,9,0,20,12,27
"A31x [#2]",15,0,0,0,1,0,0,0,13,40,20,9,32
"A14a1 [#2]",15,6,7,6,0,0,0,0,20,12,21,4,22
"A19f [#6]",8,1,1,0,3,0,0,0,0,48,3,0,0
"A02k [#2]",5,0,0,0,1,0,0,0,18,1,0,16,0
"dbd [#2]",5,1,0,0,0,1,2,0,1,0,27,0,0
"A06l [#2]",0,0,0,0,0,0,8,0,0,0,0,0,0
"A05a [#4]",1,2,4,1,5,1,13,0,0,0,0,1,2
"A08a [#2]",3,6,9,1,2,0,0,0,0,0,0,2,13
"A31k [#2]",0,0,0,0,0,0,0,0,0,0,0,0,0
"A27p [#2]",0,0,0,0,0,0,0,0,0,0,0,0,0